"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @newspeppermint: <U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> -  https://t.co/UsX17vKvfN",FALSE,0,NA,2017-11-06 23:56:18,FALSE,NA,"927686106417471489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ladywaffle",44,TRUE,FALSE,NA,NA
"2","RT @newspeppermint: <U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> -  https://t.co/UsX17vKvfN",FALSE,0,NA,2017-11-06 23:56:01,FALSE,NA,"927686038142590976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","petit_horse",44,TRUE,FALSE,NA,NA
"3","One more instance where #domesticviolence is the precursor to #massshooting https://t.co/OTCZEotU2G",FALSE,0,NA,2017-11-06 23:55:20,FALSE,NA,"927685865693777920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alec_macleod",0,FALSE,FALSE,NA,NA
"4","RT @newspeppermint: <U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> -  https://t.co/UsX17vKvfN",FALSE,0,NA,2017-11-06 23:53:11,FALSE,NA,"927685323416518656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bloomers_Suki",44,TRUE,FALSE,NA,NA
"5","<U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> https://t.co/tav3FyqT9y https://t.co/ph0VhFne1R",FALSE,0,NA,2017-11-06 23:53:06,FALSE,NA,"927685304047230981",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","MAGLagora",0,FALSE,FALSE,NA,NA
"6","RT @newspeppermint: <U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> -  https://t.co/UsX17vKvfN",FALSE,0,NA,2017-11-06 23:52:44,FALSE,NA,"927685209876676608",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","djuna01",44,TRUE,FALSE,NA,NA
"7","RT @MorinToon: Trump is well-qualified to discuss mental illness #morintoon #TexasChurchMassacre #texasshooting #NRATerrorism #Gunsense #Ma…",FALSE,0,NA,2017-11-06 23:52:41,FALSE,NA,"927685197260361728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Citoyen_Ken",55,TRUE,FALSE,NA,NA
"8","RT @newspeppermint: <U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> -  https://t.co/UsX17vKvfN",FALSE,0,NA,2017-11-06 23:49:54,FALSE,NA,"927684498052878337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Azurallure",44,TRUE,FALSE,NA,NA
"9","RT @newspeppermint: <U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> -  https://t.co/UsX17vKvfN",FALSE,0,NA,2017-11-06 23:49:23,FALSE,NA,"927684365944885249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","archmond",44,TRUE,FALSE,NA,NA
"10","It has been 1 day since the last USA #massshooting. Is now the time to address #GUNviolence in #America ? https://t.co/adGaieu058",FALSE,0,NA,2017-11-06 23:49:13,FALSE,NA,"927684325012901888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","usa_shooting",0,FALSE,FALSE,NA,NA
"11","RT @MorinToon: Trump is well-qualified to discuss mental illness #morintoon #TexasChurchMassacre #texasshooting #NRATerrorism #Gunsense #Ma…",FALSE,0,NA,2017-11-06 23:48:28,FALSE,NA,"927684136608911360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","malmutts2002",55,TRUE,FALSE,NA,NA
"12","Cannot believe that after yet another #massshooting in the #UnitedStates there is still little discussion about #GunControl.",FALSE,0,NA,2017-11-06 23:47:57,FALSE,NA,"927684007294148608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HollPeirce",0,FALSE,FALSE,NA,NA
"13","This gun-moderate Midwestern gal is done. Time for gun control. #MassShooting #TexasShooting #HowManyMustDie",FALSE,2,NA,2017-11-06 23:46:24,FALSE,NA,"927683618838851584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DawnangelaM",0,FALSE,FALSE,NA,NA
"14","RT @newspeppermint: <U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> -  https://t.co/UsX17vKvfN",FALSE,0,NA,2017-11-06 23:41:28,FALSE,NA,"927682374267047937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","viviancora",44,TRUE,FALSE,NA,NA
"15","If one of the first things you state in public after a #MassShooting is ""We need more guns"" u arent even a lousy fucking human, u are filth",FALSE,1,NA,2017-11-06 23:41:02,FALSE,NA,"927682264770674688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RandyAW",0,FALSE,FALSE,NA,NA
"16","#Megachurch #pastor: There is only one thing to do after a #MassShooting https://t.co/gs50URlwlt",FALSE,0,NA,2017-11-06 23:40:00,FALSE,NA,"927682007223508992",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","charisma_news",0,FALSE,FALSE,NA,NA
"17","RT @newspeppermint: <U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> -  https://t.co/UsX17vKvfN",FALSE,0,NA,2017-11-06 23:38:07,FALSE,NA,"927681533455974401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","terato_gen",44,TRUE,FALSE,NA,NA
"18","RT @newspeppermint: <U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> -  https://t.co/UsX17vKvfN",FALSE,0,NA,2017-11-06 23:37:31,FALSE,NA,"927681380045144064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","milktealove___",44,TRUE,FALSE,NA,NA
"19","RT @newspeppermint: <U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> -  https://t.co/UsX17vKvfN",FALSE,0,NA,2017-11-06 23:37:13,FALSE,NA,"927681307047428097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","medici7",44,TRUE,FALSE,NA,NA
"20","RT @willkennedynews: The shoe lobby has clearly dropped the ball... <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>
#TexasChurchMassacre #MassShooting #guns https://t.co/FQgy1C7lVl",FALSE,0,NA,2017-11-06 23:36:17,FALSE,NA,"927681069075386368",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Iva003",3,TRUE,FALSE,NA,NA
"21","RT @newspeppermint: <U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> -  https://t.co/UsX17vKvfN",FALSE,0,NA,2017-11-06 23:34:46,FALSE,NA,"927680691331985408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","namelesstales",44,TRUE,FALSE,NA,NA
"22","<U+CD1D><U+AE30> <U+B09C><U+C0AC> <U+C0AC><U+AC74><U+C774> <U+C774><U+B807><U+AC8C> <U+C790><U+C8FC> <U+C77C><U+C5B4><U+B098><U+B3C4> <U+BBF8><U+AD6D><U+C774> <U+CD1D><U+AE30><U+B97C> <U+ADDC><U+C81C> <U+BABB><U+D558><U+B294> <U+C774><U+C720> -  https://t.co/UsX17vKvfN",FALSE,72,NA,2017-11-06 23:34:36,FALSE,NA,"927680647849656321",NA,"<a href=""http://newspeppermint.com"" rel=""nofollow"">Newspeppermint</a>","newspeppermint",44,FALSE,FALSE,NA,NA
"23","RT @MissMyrtle2: ANOTHER #MassShooting in Texas #SutherlandSprings. At least 20 dead. The #NRA and #GOP OWN THIS! Send all the prayers you…",FALSE,0,NA,2017-11-06 23:33:47,FALSE,NA,"927680442865717249",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ProudSnowflake3",414,TRUE,FALSE,NA,NA
"24","Does the US have more #mentalillness than other countries? Because I don't see other countries having a #MassShooting as frequently as here.",FALSE,0,NA,2017-11-06 23:32:42,FALSE,NA,"927680168511946753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HeidiNPlainSite",0,FALSE,FALSE,NA,NA
