"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @lawlesstiger_RH: &gt;13k people killed by guns in USA in 2017 so far
&gt;308 Mass Shootings in USA in 2017 so far

&gt;People killed by Islamic…",FALSE,0,NA,2017-11-05 23:59:11,FALSE,NA,"927324447610146816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","oldwolf1887",17,TRUE,FALSE,NA,NA
"2","@SpeakerRyan No they need you to step up and DO SOMETHING ABOUT GUNS! Screw the #NRAisATerroristOrganization… https://t.co/2MmjxgWl0q",FALSE,0,"SpeakerRyan",2017-11-05 23:58:05,TRUE,"927269491045695488","927324171109052416","18916432","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rteest",0,FALSE,FALSE,NA,NA
"3","RT @lawlesstiger_RH: &gt;13k people killed by guns in USA in 2017 so far
&gt;308 Mass Shootings in USA in 2017 so far

&gt;People killed by Islamic…",FALSE,0,NA,2017-11-05 23:57:27,FALSE,NA,"927324009993293825",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","trainman1958",17,TRUE,FALSE,NA,NA
"4","RT @lawlesstiger_RH: &gt;13k people killed by guns in USA in 2017 so far
&gt;308 Mass Shootings in USA in 2017 so far

&gt;People killed by Islamic…",FALSE,0,NA,2017-11-05 23:56:58,FALSE,NA,"927323886668181504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HateLover12",17,TRUE,FALSE,NA,NA
"5","RT @lawlesstiger_RH: &gt;13k people killed by guns in USA in 2017 so far
&gt;308 Mass Shootings in USA in 2017 so far

&gt;People killed by Islamic…",FALSE,0,NA,2017-11-05 23:56:46,FALSE,NA,"927323836638429184",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","HopeBeatsHate",17,TRUE,FALSE,NA,NA
"6","&gt;13k people killed by guns in USA in 2017 so far
&gt;308 Mass Shootings in USA in 2017 so far

&gt;People killed by Islam… https://t.co/LOGK5xylkM",FALSE,13,NA,2017-11-05 23:52:55,TRUE,NA,"927322869025116161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lawlesstiger_RH",17,FALSE,FALSE,NA,NA
"7","@KristenLaRocco @realDonaldTrump Why can't cowardly trump &amp; @GOP say the words WHITE RADICAL TERRORISM?
Until we la… https://t.co/pOcv0AqIC8",FALSE,0,"KristenLaRocco",2017-11-05 23:51:54,TRUE,"927318295518240768","927322612556009483","25385496","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SesameTweet3",0,FALSE,FALSE,NA,NA
"8","This post. Every day. #SutherlandSprings #NoMoreThoughtsandPrayers #TimetoAct #NRAisaterroristorganization https://t.co/TdzGChXvDN",FALSE,0,NA,2017-11-05 23:41:28,FALSE,NA,"927319989354467328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ResistMeena",0,FALSE,FALSE,NA,NA
"9","@ActualEPAFacts and #NRAisaTerroristOrganization",FALSE,0,"ActualEPAFacts",2017-11-05 23:37:13,FALSE,"927317371949342720","927318918691160064","824270573203292160","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sharongelman",1,FALSE,FALSE,NA,NA
"10","Save your phony prayers you phony @NRA puppet. We need common sense #GunControlNow! #nraisaterroristorganization https://t.co/NqBkgrvg38",FALSE,2,NA,2017-11-05 23:28:48,FALSE,NA,"927316799120605185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gogoPatienceCnP",0,FALSE,FALSE,NA,NA
"11","When white people kill white people in gun-loving Texas, it's chickens coming home to roost. #nraisaterroristorganization",FALSE,2,NA,2017-11-05 23:09:24,FALSE,NA,"927311919702265857",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","rgrusin",0,FALSE,FALSE,NA,NA
"12","RT @AKHLASS1: @VP @Anon_Patriot45 #ImpeachTrump #ImpeachPence #TrumpRussia #NRAIsATerroristOrganization
#guncontrol #mentalhealthawareness…",FALSE,0,NA,2017-11-05 23:05:50,FALSE,NA,"927311020107943936",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cagney1991",2,TRUE,FALSE,NA,NA
"13","@VP @Anon_Patriot45 #ImpeachTrump #ImpeachPence #TrumpRussia #NRAIsATerroristOrganization
#guncontrol… https://t.co/6yVPHX121b",FALSE,0,"VP",2017-11-05 22:53:34,TRUE,"927267441708855296","927307935075655681","818910970567344128","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AKHLASS1",2,FALSE,FALSE,NA,NA
"14","BREAKING: WAYNE LAPIERRE WAS THE SHOOTER IN TEXAS. 
#NRAISATERRORISTORGANIZATION
https://t.co/7SDDh8E2PU",FALSE,2,NA,2017-11-05 22:45:02,FALSE,NA,"927305785838727170",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","angryyinvestor",0,FALSE,FALSE,NA,NA
"15","@4everNeverTrump I agree...God does not stop mass gun deaths obviously. I am so horrified by this #NRAIsATerroristOrganization",FALSE,1,"4everNeverTrump",2017-11-05 22:32:34,FALSE,"927300179400593409","927302649229336576","252357183","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BonnieRenouf",0,FALSE,FALSE,NA,NA
"16","Why?  Because he could!  #NRAisaterroristorganization",FALSE,0,NA,2017-11-05 22:31:39,FALSE,NA,"927302418454515712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BNDWV",0,FALSE,FALSE,NA,NA
"17","RT @realpestilence: See what our lives are worth to them. #GunControl #NRAIsATerroristOrganization
#Republicans #NRAPuppets https://t.co/F8…",FALSE,0,NA,2017-11-05 22:18:59,FALSE,NA,"927299232037527552",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nyamentikeely",2,TRUE,FALSE,NA,NA
"18","RT @realpestilence: See what our lives are worth to them. #GunControl #NRAIsATerroristOrganization
#Republicans #NRAPuppets https://t.co/F8…",FALSE,0,NA,2017-11-05 22:18:36,FALSE,NA,"927299131625869312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","grey_zoe",2,TRUE,FALSE,NA,NA
"19","@ZaibatsuNews @kharyp Where the hell was the good guy with the gun? Where @NRA? Where @dloesch? Where @GOP?

#NRAisaTerroristOrganization",FALSE,3,"ZaibatsuNews",2017-11-05 22:16:13,FALSE,"927292225372827648","927298532670926853","93111391","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SesameTweet3",1,FALSE,FALSE,NA,NA
"20","See what our lives are worth to them. #GunControl #NRAIsATerroristOrganization
#Republicans #NRAPuppets https://t.co/F89OmrnGoN",FALSE,2,NA,2017-11-05 22:14:53,FALSE,NA,"927298197285982208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","realpestilence",2,FALSE,FALSE,NA,NA
"21","@CBSNews @HenryRamosTV Really bc it happens everyday there. #GunControlNOW #NRAisaterroristorganization #voteGOPout",FALSE,0,"CBSNews",2017-11-05 22:08:50,FALSE,"927293975316303872","927296676712386560","15012486","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dawnsmartdore",0,FALSE,FALSE,NA,NA
"22","It’s like we need some extreme vetting of gun buyers #notthoughts&amp;prayers #guncontrol #tx #policyisntpolitics #NRAisaTerroristOrganization",FALSE,0,NA,2017-11-05 22:01:16,FALSE,NA,"927294773295243264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AspiringNomad",0,FALSE,FALSE,NA,NA
"23","@SpeakerRyan You &amp; the entire Republican party are complicit in every gun death in America #RepublicanMafia… https://t.co/BLkNwt2pA2",FALSE,0,"SpeakerRyan",2017-11-05 22:00:04,TRUE,"927269491045695488","927294469619064832","18916432","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheFluff2",0,FALSE,FALSE,NA,NA
"24","Fuck all of your prayers. Laws need to change. The violence needs to end. #GunControl #NRAIsATerroristOrganization",FALSE,0,NA,2017-11-05 21:58:33,FALSE,NA,"927294086335356930",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","elizabeth_rydan",0,FALSE,FALSE,NA,NA
"25","@SenFrankNiceley Change your god damned name.
You aren't nice nor are you a decent human being.

#GunControlNOW… https://t.co/B542l81WE6",FALSE,8,"SenFrankNiceley",2017-11-05 21:55:50,TRUE,"927277500199329792","927293403137703936","1009195424","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SesameTweet3",1,FALSE,FALSE,NA,NA
"26","@FoxNews @_SBTC DO SOMETHING ABOUT GUNS FOR THE LOVE OF FUCKING GOD. #NRAisaTerroristOrganization",FALSE,0,"FoxNews",2017-11-05 21:23:34,FALSE,"927283946672611328","927285283506343936","1367531","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","youcrazypants",0,FALSE,FALSE,NA,NA
"27","@NRA Feeling pretty good today, are you? #MerchantsOfDeath #NRAIsATerroristOrganization",FALSE,1,"NRA",2017-11-05 21:19:13,FALSE,NA,"927284191116582913","21829541","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TrishMayhorn1",0,FALSE,FALSE,NA,NA
"28","Another day, another gun massacre. But nothing will change cause the wrong people have the right ones balls #NRAIsATerroristOrganization",FALSE,0,NA,2017-11-05 21:12:44,FALSE,NA,"927282558571819008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AnthonyShannon2",0,FALSE,FALSE,NA,NA
"29","#NRAIsATerroristOrganization ""Sutherland Springs"" #Texas",FALSE,0,NA,2017-11-05 21:08:15,FALSE,NA,"927281431549763584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","run_mac_run",0,FALSE,FALSE,NA,NA
"30","RT @techie_too: @dcpoll @B52Malmet @GOP The NRA doesn't care. They didn't care after Sandy Hook. #NRAIsATerroristOrganization.",FALSE,0,NA,2017-11-05 21:06:53,FALSE,NA,"927281086643822592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BudGothmog44",5,TRUE,FALSE,NA,NA
