"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","La cultura de las armas sigue pasando factura a la sociedad norteamericana. #prayfortexas",FALSE,0,NA,2017-11-05 23:59:54,FALSE,NA,"927324627390681089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlbertoJVelarde",0,FALSE,FALSE,NA,NA
"2","More madness that don't need to happen so sad #prayfortexas #texasshooting #why https://t.co/BdlOICEv7U",FALSE,0,NA,2017-11-05 23:59:53,FALSE,NA,"927324623787757568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Corkrebel1231",0,FALSE,FALSE,NA,NA
"3","RT @paugasol: My heart breaks for those affected by the shooting in #SutherlandSprings. My deepest condolences to the victims’ families. #P…",FALSE,0,NA,2017-11-05 23:59:53,FALSE,NA,"927324622634274816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marianananana_",206,TRUE,FALSE,NA,NA
"4","RT @RadioFCB: Nuestras oraciones están con las victimas y los afectados en Texas por esa brutal masacre donde se perdieron 26 valiosas vida…",FALSE,0,NA,2017-11-05 23:59:50,FALSE,NA,"927324608629559297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oca_cule",21,TRUE,FALSE,NA,NA
"5","RT @AlwaysActions: <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> #PrayForTexas <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>

<ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> Sutherland Springs
Baptist Church #Texas

#TexasStrong #Church https://t.co/0KQeqz7YQS",FALSE,0,NA,2017-11-05 23:59:48,FALSE,NA,"927324603470491649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ejjpridmore",267,TRUE,FALSE,NA,NA
"6","RT @RepAlGreen: I extend my prayers &amp; condolences to those affected by today's tragedy that occurred in a house of worship. #SutherlandSpri…",FALSE,0,NA,2017-11-05 23:59:48,FALSE,NA,"927324602187091968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ArgoJournal",39,TRUE,FALSE,NA,NA
"7","#prayfortexas <U+271D><U+FE0F>
https://t.co/15WL1pxzmV",FALSE,0,NA,2017-11-05 23:59:43,FALSE,NA,"927324581945364481",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MEGALucasfan",0,FALSE,FALSE,NA,NA
"8","#prayfortexas is now trending in #NY

https://t.co/QJ90oa79Ft https://t.co/MgksvATnzT",FALSE,1,NA,2017-11-05 23:59:43,FALSE,NA,"927324578434748416",NA,"<a href=""http://trendsmap.com/"" rel=""nofollow"">Trendsmap Alerting</a>","TrendsNewYork",0,FALSE,FALSE,NA,NA
"9","@melmus99 Hiya, I hope you’re well. What’s happened in Texas? Someone posted RIP 27 people. Then #Texas #PrayForTexas. Xx",FALSE,2,"melmus99",2017-11-05 23:59:36,FALSE,NA,"927324551809306625","389050226","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShaunEvansInfo",0,FALSE,FALSE,NA,NA
"10","Rot in hell you piece of shit #prayfortexas https://t.co/aCN13Kabg1",FALSE,0,NA,2017-11-05 23:59:33,FALSE,NA,"927324539494727681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sphairyy",0,FALSE,FALSE,NA,NA
"11","Shooters bombers and so much anger when will it end? When can people see past there differences and try for peace?#prayfortexas",FALSE,1,NA,2017-11-05 23:59:30,FALSE,NA,"927324525469032449",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Christi74316368",1,FALSE,FALSE,NA,NA
"12","RT @TrulyYoursAriG: All of our thoughts &amp; prayers to the victims and their families of this tragedy. Stay safe everyone. #prayfortexas <ed><U+00A0><U+00BD><ed><U+00B2><U+0098><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>",FALSE,0,NA,2017-11-05 23:59:29,FALSE,NA,"927324523615195136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mariana02713084",2,TRUE,FALSE,NA,NA
"13","People can be so evil... why?? <ed><U+00A0><U+00BD><ed><U+00B8><U+0094><ed><U+00A0><U+00BD><ed><U+00B2><U+0094> R.I.P. <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B2><U+009C> #prayfortexas #PrayForTheWorld https://t.co/vrwnjRnRwF",FALSE,0,NA,2017-11-05 23:59:26,FALSE,NA,"927324509199372288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","makeupbymonica_",0,FALSE,FALSE,NA,NA
"14","RT @OpposingBlue: Another shooting in Texas! I swear to God if I hear a liberal scream “Gun Control”... <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>

#PrayForTexas #MakeAmericaSafeA…",FALSE,0,NA,2017-11-05 23:59:25,FALSE,NA,"927324506825379841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KatherineRNCHPN",2,TRUE,FALSE,NA,NA
"15","RT @BassChaplain: Well it took the Left about 10 minutes to blame guns for a terror attack. Don't recall any clamors to ban Rental trucks l…",FALSE,0,NA,2017-11-05 23:59:25,FALSE,NA,"927324505596362752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rattlesnake189",2,TRUE,FALSE,NA,NA
"16","Heartbreaking once again. My heart goes out to all affected <U+2764><U+FE0F> #prayfortexas #love #control",FALSE,0,NA,2017-11-05 23:59:24,FALSE,NA,"927324499774754817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joannacianciola",0,FALSE,FALSE,NA,NA
"17","RT @TeriGRight: NOT AGAIN!
#PrayforTEXAS https://t.co/xXXleNHTfy",FALSE,0,NA,2017-11-05 23:59:21,FALSE,NA,"927324486902386688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","85EJones",47,TRUE,FALSE,NA,NA
"18","#PrayForTexas <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> https://t.co/CaCkBirz3n",FALSE,3,NA,2017-11-05 23:59:20,FALSE,NA,"927324484557852672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Teresa_iGuess",0,FALSE,FALSE,NA,NA
"19","RT @OurPrayer: Join us in #praying for the families affected by today's mass shooting #prayforTexas #prayforSanAntonio #SanAntonio #Texas #…",FALSE,0,NA,2017-11-05 23:59:16,FALSE,NA,"927324465737945088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","doublehulk",83,TRUE,FALSE,NA,NA
"20","Our hearts &amp; prayers go out to those who have been affected by the shooting in a southern Texas church today. Join… https://t.co/q0TZOGF6Ut",FALSE,19,NA,2017-11-05 23:59:15,TRUE,NA,"927324462613237763",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","mycschurch",8,FALSE,FALSE,NA,NA
