"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @BradPaisley: God bless you Texas. #texasstrong",FALSE,0,NA,2017-11-05 23:59:57,FALSE,NA,"927324638727749632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JRTP4ND4",689,TRUE,FALSE,NA,NA
"2","RT @polishprincessh: Disgusting. 
YOU ARE A COMPLETE IDIOT!

Texas will be just fine, wanna know why? WE ARE TRUE AMERICANS.
#TexasStrong h…",FALSE,0,NA,2017-11-05 23:59:54,FALSE,NA,"927324627130499072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Catheri37565338",453,TRUE,FALSE,NA,NA
"3","RT @AlwaysActions: <ed><U+00A0><U+00BD><ed><U+00B9><U+008F> #PrayForTexas <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>

<ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> Sutherland Springs
Baptist Church #Texas

#TexasStrong #Church https://t.co/0KQeqz7YQS",FALSE,0,NA,2017-11-05 23:59:48,FALSE,NA,"927324603470491649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ejjpridmore",267,TRUE,FALSE,NA,NA
"4","#TexasStrong",FALSE,0,NA,2017-11-05 23:59:46,FALSE,NA,"927324593936916480",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","carlosaquirre",0,FALSE,FALSE,NA,NA
"5","RT @polishprincessh: My thoughts &amp; prayers are with the victims &amp; their families of shooting at Church of Sutherland Springs TX.
#TexasStro…",FALSE,0,NA,2017-11-05 23:59:46,FALSE,NA,"927324593508974593",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mamaclaudio",809,TRUE,FALSE,NA,NA
"6","RT @glennbeck: My family is praying for the good people in #southerlandsprings #texas.    May the Lord heal our hearts and our land. #Texas…",FALSE,0,NA,2017-11-05 23:59:40,FALSE,NA,"927324565843390464",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","kwtgvt",194,TRUE,FALSE,NA,NA
"7","RT @Gladysd2739: @BEvansBabyGirl #TexasStrong",FALSE,0,NA,2017-11-05 23:59:37,FALSE,NA,"927324554002927618",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BEvansBabyGirl",1,TRUE,FALSE,NA,NA
"8","@PrisonPlanet Thank God and the American Constitution for the man with the rifle that engaged the shooter from even more harm. #TexasStrong",FALSE,0,"PrisonPlanet",2017-11-05 23:59:36,FALSE,NA,"927324552375488512","18643437","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","jehiggi",0,FALSE,FALSE,NA,NA
"9","RT @BradPaisley: God bless you Texas. #texasstrong",FALSE,0,NA,2017-11-05 23:59:29,FALSE,NA,"927324520398163974",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","macey_mccoy",689,TRUE,FALSE,NA,NA
"10","@chelseahandler I am a huge fan, own every book, but this is too much.  This proud republican Texan is done. #blessyourheart #TexasStrong",FALSE,0,"chelseahandler",2017-11-05 23:59:27,FALSE,NA,"927324513272057856","19877186","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","everetttx",0,FALSE,FALSE,NA,NA
"11","RT @CitizenCBD: Our hearts and prayers are with you. #Texas #TexasStrong #Citizen https://t.co/HucJdfZwur",FALSE,0,NA,2017-11-05 23:59:27,FALSE,NA,"927324512277934081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SouthernSpoonie",8,TRUE,FALSE,NA,NA
"12","RT @polishprincessh: Disgusting. 
YOU ARE A COMPLETE IDIOT!

Texas will be just fine, wanna know why? WE ARE TRUE AMERICANS.
#TexasStrong h…",FALSE,0,NA,2017-11-05 23:59:23,FALSE,NA,"927324495823728643",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chass2008",453,TRUE,FALSE,NA,NA
"13","RT @Shastina_Eloff: Muslim?!? I have to confirm with my sources. #fireback #texasstrong",FALSE,0,NA,2017-11-05 23:59:23,FALSE,NA,"927324494938636288",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Brent77A",5,TRUE,FALSE,NA,NA
"14","RT @Texaspreps: Praying for all those family and friends impacted by the #TexasChurchMassacre #TexasStrong https://t.co/pLwoENrc8k",FALSE,0,NA,2017-11-05 23:59:22,FALSE,NA,"927324491264548867",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dbro29",2,TRUE,FALSE,NA,NA
"15","The time is now... #SanAntonio #texasshooting #activeshooter #AmericanStrong #TexasStrong #texaschurchshooter… https://t.co/wZKehu2JZd",FALSE,0,NA,2017-11-05 23:59:12,TRUE,NA,"927324449682153472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SoredGear",1,FALSE,FALSE,NA,NA
"16","RT @Carolin17951107: Just say no to #GunControl.......

#SutherlandSprings 

#TexasStrong 

#VegasShooter 

#NYCTerroristAttacks 

Control…",FALSE,0,NA,2017-11-05 23:59:07,FALSE,NA,"927324430669197312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fosikat",453,TRUE,FALSE,NA,NA
"17","So a random next to the church started shooting at the #TexasShooter. Taking #DontmesswithTexas to the next level. <ed><U+00A0><U+00BD><ed><U+00B8><U+00AE> #TexasStrong",FALSE,1,NA,2017-11-05 23:59:01,FALSE,NA,"927324402370347008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RealMainEvent",0,FALSE,FALSE,NA,NA
"18","RT @BradPaisley: God bless you Texas. #texasstrong",FALSE,0,NA,2017-11-05 23:58:55,FALSE,NA,"927324381197594624",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ThuressonL",689,TRUE,FALSE,NA,NA
"19","RT @TheDarkerFamily: Our thoughts and prayers go to our friends, family and readers in Texas after their terrible tragedy today. #TexasStro…",FALSE,0,NA,2017-11-05 23:58:52,FALSE,NA,"927324367004020736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TeresaJ04271991",1,TRUE,FALSE,NA,NA
"20","#TexasStrong https://t.co/i0KFDiY0m0",FALSE,1,NA,2017-11-05 23:58:51,FALSE,NA,"927324361840910336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CeceliaEstacion",0,FALSE,FALSE,NA,NA
"21","RT @winegirl73: @AngeloJohnGage Amen Brother <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008B>

This is how you have #GunControl

Practice makes Perfect <ed><U+00A0><U+00BC><ed><U+00BE><U+00AF>

#TexasStrong <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BD><ed><U+00B9><U+008F> https://t.co/…",FALSE,0,NA,2017-11-05 23:58:49,FALSE,NA,"927324355146780672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wotomydoing",279,TRUE,FALSE,NA,NA
"22","RT @Carolin17951107: Just say no to #GunControl.......

#SutherlandSprings 

#TexasStrong 

#VegasShooter 

#NYCTerroristAttacks 

Control…",FALSE,0,NA,2017-11-05 23:58:47,FALSE,NA,"927324344610631680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fromTull",453,TRUE,FALSE,NA,NA
"23","RT @polishprincessh: My thoughts &amp; prayers are with the victims &amp; their families of shooting at Church of Sutherland Springs TX.
#TexasStro…",FALSE,0,NA,2017-11-05 23:58:46,FALSE,NA,"927324341511053315",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RollemezShaw",809,TRUE,FALSE,NA,NA
"24","Fact: #GunControl is not the solution, where there's a will there's a way

Crazy ppl don't only use guns

#TexasStrong 
#SutherlandSprings",FALSE,5,NA,2017-11-05 23:58:40,FALSE,NA,"927324317242630144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaliDeplorable",2,FALSE,FALSE,NA,NA
"25","@SpeakerRyan Ur thoughts &amp;  <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> are useless to the dead. Where is the anger against #gunviolence? That’s right the… https://t.co/EcdpY6Do4f",FALSE,0,"SpeakerRyan",2017-11-05 23:58:34,TRUE,"927269491045695488","927324292475260928","18916432","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mggtoscano",0,FALSE,FALSE,NA,NA
"26","RT @winegirl73: @AngeloJohnGage Amen Brother <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008B>

This is how you have #GunControl

Practice makes Perfect <ed><U+00A0><U+00BC><ed><U+00BE><U+00AF>

#TexasStrong <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BD><ed><U+00B9><U+008F> https://t.co/…",FALSE,0,NA,2017-11-05 23:58:26,FALSE,NA,"927324259554353152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ROOTSTRUTH",279,TRUE,FALSE,NA,NA
"27","#PrayersforTexas #prayforsutherlandsprings #TexasStrong #Texas # PrayforTexas https://t.co/jTrzYvzKqM",FALSE,1,NA,2017-11-05 23:58:25,FALSE,NA,"927324252767965184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cecii_Shop17",0,FALSE,FALSE,NA,NA
"28","RT @glennbeck: My family is praying for the good people in #southerlandsprings #texas.    May the Lord heal our hearts and our land. #Texas…",FALSE,0,NA,2017-11-05 23:58:25,FALSE,NA,"927324252214263808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RunionW",194,TRUE,FALSE,NA,NA
"29","RT @BradPaisley: God bless you Texas. #texasstrong",FALSE,0,NA,2017-11-05 23:58:21,FALSE,NA,"927324236489936896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sammehpage",689,TRUE,FALSE,NA,NA
"30","RT @BradPaisley: God bless you Texas. #texasstrong",FALSE,0,NA,2017-11-05 23:58:19,FALSE,NA,"927324228264882177",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nataliaicen",689,TRUE,FALSE,NA,NA
"31","RT @polishprincessh: My thoughts &amp; prayers are with the victims &amp; their families of shooting at Church of Sutherland Springs TX.
#TexasStro…",FALSE,0,NA,2017-11-05 23:58:17,FALSE,NA,"927324221214281734",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JohnDLinde",809,TRUE,FALSE,NA,NA
"32","RT @BradPaisley: God bless you Texas. #texasstrong",FALSE,0,NA,2017-11-05 23:58:13,FALSE,NA,"927324202235039744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","patrioticclass",689,TRUE,FALSE,NA,NA
"33","RT @winegirl73: @AngeloJohnGage Amen Brother <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B9><U+008B>

This is how you have #GunControl

Practice makes Perfect <ed><U+00A0><U+00BC><ed><U+00BE><U+00AF>

#TexasStrong <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BD><ed><U+00B9><U+008F> https://t.co/…",FALSE,0,NA,2017-11-05 23:58:10,FALSE,NA,"927324189559787520",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","rafaelvelez311",279,TRUE,FALSE,NA,NA
"34","RT @BradPaisley: God bless you Texas. #texasstrong",FALSE,0,NA,2017-11-05 23:58:09,FALSE,NA,"927324184182771712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smiley0890",689,TRUE,FALSE,NA,NA
"35","RT @BradPaisley: God bless you Texas. #texasstrong",FALSE,0,NA,2017-11-05 23:58:03,FALSE,NA,"927324160946262017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmayaRearden",689,TRUE,FALSE,NA,NA
"36","#texasstrong",FALSE,1,NA,2017-11-05 23:57:58,FALSE,NA,"927324138175307776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DimplefaceLV",0,FALSE,FALSE,NA,NA
"37","RT @polishprincessh: My thoughts &amp; prayers are with the victims &amp; their families of shooting at Church of Sutherland Springs TX.
#TexasStro…",FALSE,0,NA,2017-11-05 23:57:52,FALSE,NA,"927324114687287298",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StineMaga",809,TRUE,FALSE,NA,NA
"38","RT @glennbeck: My family is praying for the good people in #southerlandsprings #texas.    May the Lord heal our hearts and our land. #Texas…",FALSE,0,NA,2017-11-05 23:57:49,FALSE,NA,"927324101894688768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AshleyMRollins",194,TRUE,FALSE,NA,NA
